"","muni_id","year","forest_loss_all_gross","forest","forest_change","gdp_pc","population","pop_dens","pa_tot_ha","n_fined","brl_fined","spei_dry","gdp_pc_change","population_change","pop_dens_change","pa_tot_ha_change","n_fined_change","brl_fined_change","GoldPrice","shift_1","shift_2","shift_3","shift_4","garimpo_ha","garimpo_ha_change"
"14883",5106224,2016,977.259118890382,375348.902529751,-89.7588011740008,45115.3549563394,41178,0.0431779418157888,74.3497375402254,1,237894.040037067,0,810.820289605675,1466,0.00153720099815306,0,0,148055.276916179,1248.988,88.325,-16.5899999999999,-162.474,-420.53,0,0
"14884",5106224,2017,751.917196051025,375178.948274653,-169.954255098011,40000.8013298885,42607,0.044676345790114,74.3497375402254,3,947283.695880616,0,-5114.55362645093,1429,0.00149840397432518,0,2,709389.655843549,1257.559,8.57099999999991,96.896,-8.01900000000001,-153.903,0,0
"14885",5106224,2018,728.965894122312,375674.629204589,495.680929936003,42509.6445853482,43919,0.0460520672836861,74.3497375402254,2,250903.757257447,0,2508.84325545973,1312,0.00137572149357217,0,-1,-696379.938623169,1269.227,11.6680000000001,20.239,108.564,3.64900000000011,0,0
"14886",5106224,2019,3695.08778262944,372561.208302136,-3113.42090245301,39120.0754083521,45378,0.0475819283043582,74.3497375402254,0,0,0,-3389.56917699612,1459,0.0015298610206721,0,-2,-250903.757257447,1392.498,123.271,134.939,143.51,231.835,0,0
"14887",5106224,2020,468.086062896729,373667.631029162,1106.42272702599,52392.1441870873,46813,0.0490866236879528,74.3497375402254,0,0,1,13272.0687787352,1435,0.00150469538359456,0,0,0,1770.254,377.756,501.027,512.695,521.266,0,0
"14888",5106224,2021,1301.64373182373,373068.818573916,-598.812455245992,59310.978135011,48222,0.0505640562980467,74.3497375402254,0,0,0,6918.83394792367,1409,0.00147743261009389,0,0,0,1799.629,29.375,407.131,530.402,542.07,0,0
"14889",5106224,2022,1452.04649690551,373171.579356322,102.760782406025,60751.4649046098,55839,0.0585510003655309,74.3497375402254,0,0,1,1440.48676959882,7617,0.00798694406748417,0,0,0,1800.602,0.973000000000184,30.3480000000002,408.104,531.375,0,0
"14890",5106232,2002,847.264713397214,24144.975065778,-852.360162390003,29593.688942504,15716,0.118408819332372,0,2,11608.9665547666,0,NA,653,0.004919887950117,0,1,9105.90454113367,309.972,38.983,30.94,31.204,15.811,0,0
"14891",5106232,2003,356.374488848877,24052.2762371522,-92.6988286257983,27226.8315801828,16427,0.123765695798732,0,0,0,0,-2366.85736232112,711,0.00535687646636018,0,-2,-11608.9665547666,363.509,53.537,92.52,84.477,84.741,0,0
"14892",5106232,2004,162.77544286499,24224.5757530705,172.299515918301,23404.3974116491,17917,0.134991780095324,0,3,19109.5821442235,0,-3822.43416853376,1490,0.0112260842965916,0,3,19109.5821442235,409.212,45.703,99.24,138.223,130.18,0,0
"14893",5106232,2005,474.902871197511,25120.6606782537,896.084925183197,18969.302855351,18743,0.141215099309407,0,1,8630.56365612861,0,-4435.09455629812,826,0.0062233192140837,0,-2,-10479.0184880949,444.843,35.631,81.334,134.871,173.854,0,0
"14894",5106232,2006,1.21095952148438,25226.1916139714,105.530935717703,16883.647353437,19562,0.147385678530151,0,0,0,0,-2085.65550191394,819,0.00617057922074399,0,-1,-8630.56365612861,604.336,159.493,195.124,240.827,294.364,0,0
"14895",5106232,2007,526.710627209472,24716.4065170112,-509.7850969602,21199.0161594018,19474,0.146722661471024,0,1,352488.977141866,0,4315.36880596478,-88,-0.000663017059127552,0,1,352488.977141866,696.72,92.384,251.877,287.508,333.211,0,0
"14896",5106232,2008,200.019899743652,24557.8090388741,-158.597478137101,23318.6840035062,20330,0.153172009227992,0,0,0,0,2119.66784410444,856,0.00644934775696809,0,-1,-352488.977141866,871.707,174.987,267.371,426.864,462.495,0,0
"14897",5106232,2009,110.458124279785,24649.2933948856,91.4843560115005,18349.9561041175,20944,0.157798060072359,0,0,0,0,-4968.7278993887,614,0.00462605084436729,0,0,0,972.966,101.259,276.246,368.63,528.123,0,0
"14898",5106232,2010,51.0437072998047,24937.9053358467,288.611940961098,26475.13,17515,0.131962997620673,0,1,42000,0,8125.17389588246,-3429,-0.0258350624516864,0,1,42000,1224.664,251.698,352.957,527.944,620.328,0,0
"14899",5106232,2011,86.076913824463,24884.353796082,-53.5515397646996,20086.5239792322,17771,0.133891774519953,0,0,0,0,-6388.60602076782,256,0.00192877689928017,0,-1,-42000,1569.211,344.547,596.245,697.504,872.491,0,0
"14900",5106232,2012,112.380416381836,24875.1773168218,-9.17647926020072,21560.3372168021,18018,0.135752742856368,0,0,0,0,1473.81323756988,247,0.00186096833641486,0,0,0,1669.518,100.307,444.854,696.552,797.811,0,0
"14901",5106232,2013,72.9239621215821,25077.1958046757,202.0184878539,18555.4391493034,18437,0.138909608171987,0,0,0,0,-3004.89806749862,419,0.00315686531561871,0,0,0,1411.462,-258.056,-157.749,186.798,438.496,0,0
"14902",5106232,2014,100.173941412354,25121.9498391425,44.7540344668014,16132.2644011958,18704,0.140921262203658,0,0,0,0,-2423.17474810763,267,0.00201165403167114,0,0,0,1265.578,-145.884,-403.94,-303.633,40.914,0,0
"14903",5106232,2015,79.2420294006348,25207.1778375799,85.2279984373999,16760.0933364448,18965,0.142887710526752,0,0,0,0,627.828935248992,261,0.00196644832309423,0,0,0,1160.663,-104.915,-250.799,-508.855,-408.548,0,0
"14904",5106232,2016,149.813892346192,25101.6694690803,-105.508368499599,20431.3551729541,19218,0.144793884571744,0,0,0,0,3671.26183650932,253,0.00190617404499174,0,0,0,1248.988,88.325,-16.5899999999999,-162.474,-420.53,0,0
"14905",5106232,2017,85.3743564270018,25219.5139626532,117.844493572899,21456.7477077418,19465,0.146654852908159,0,0,0,0,1025.39253478765,247,0.00186096833641486,0,0,0,1257.559,8.57099999999991,96.896,-8.01900000000001,-153.903,0,0
"14906",5106232,2018,113.855303039551,25261.5412985967,42.0273359435014,21117.6797101455,20034,0.150941860938199,0,9,36893.0470955254,0,-339.067997596267,569,0.0042870080300407,0,9,36893.0470955254,1269.227,11.6680000000001,20.239,108.564,3.64900000000011,0,0
"14907",5106232,2019,138.156556872559,25369.8247564338,108.2834578371,19042.9242724464,20301,0.15295351496987,0,0,0,0,-2074.75543769912,267,0.00201165403167111,0,-9,-36893.0470955254,1392.498,123.271,134.939,143.51,231.835,0,0
"14908",5106232,2020,235.630784924316,25165.5107819218,-204.313974512002,19033.3167105344,20563,0.154927497577727,0,0,0,0,-9.60756191199471,262,0.00197398260785706,0,0,0,1770.254,377.756,501.027,512.695,521.266,0,0
"14909",5106232,2021,315.59718649292,24758.1263655947,-407.384416327099,16660.1237174533,20820,0.15686380876177,0,0,0,0,-2373.19299308112,257,0.00193631118404297,0,0,0,1799.629,29.375,407.131,530.402,542.07,0,0
